sso_id,export_countries,export_commodity_codes
215173,[],"[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213445,"[{'region': 'Asia Pacific', 'country_name': 'Japan', 'country_iso2_code': 'JP'}]","[{'commodity_code': '210690', 'commodity_name': 'Vegan sushi'}]"
215441,[],[]
215442,[],[]
213438,[],[]
215240,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '220190', 'commodity_name': 'Water'}]"
213882,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '081010', 'commodity_name': 'Strawberry'}]"
215577,[],[]
178274,[],[]
215580,[],[]
213442,"[{'region': 'Africa', 'country_name': 'Mauritius', 'country_iso2_code': 'MU'}]","[{'commodity_code': '871200', 'commodity_name': 'Bicycle'}]"
212618,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '070190', 'commodity_name': 'Potato'}]"
215582,[],[]
215583,[],[]
171714,"[{'region': 'Africa', 'country_name': 'Seychelles', 'country_iso2_code': 'SC'}]","[{'commodity_code': '190590', 'commodity_name': 'Cake'}]"
215587,[],[]
213680,[],[]
213863,[],[]
215586,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '081010', 'commodity_name': 'strawberries'}]"
215589,[],[]
215590,[],[]
215592,[],[]
215593,[],[]
215595,[],[]
215596,[],[]
215600,[],[]
215602,"[{'region': 'Europe', 'country_name': 'Czechia', 'country_iso2_code': 'CZ'}]","[{'commodity_code': '846792', 'commodity_name': 'Parts'}]"
215588,[],[]
215603,[],[]
215604,[],[]
215605,[],[]
213396,"[{'region': 'Europe', 'country_name': 'Croatia', 'country_iso2_code': 'HR'}]","[{'commodity_code': '081190', 'commodity_name': 'Apple'}]"
210821,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215609,[],[]
215610,[],[]
215611,[],[]
215612,[],[]
215613,[],[]
215614,[],[]
215615,[],[]
215616,[],[]
215617,[],[]
215618,[],[]
215619,[],[]
215622,[],[]
215624,[],[]
215623,[],[]
215625,[],[]
215626,[],[]
215630,[],[]
191489,"[{'region': 'South Asia', 'country_name': 'Maldives', 'country_iso2_code': 'MV'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215606,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '080830', 'commodity_name': 'Pear'}]"
215631,"[{'region': 'Africa', 'country_name': 'Comoros', 'country_iso2_code': 'KM'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
